Date,value
1996-04,7.93
1996-05,8.07
1996-06,8.32
1996-07,8.25
1996-08,8
1996-09,8.23
1996-10,7.92
1996-11,7.62
1996-12,7.6
1997-01,7.82
1997-02,7.65
1997-03,7.9
1997-04,8.14
1997-05,7.94
1997-06,7.69
1997-07,7.5
1997-08,7.48
1997-09,7.43
1997-10,7.29
1997-11,7.21
1997-12,7.1
1998-01,6.99
1998-02,7.04
1998-03,7.13
1998-04,7.14
1998-05,7.14
1998-06,7
1998-07,6.95
1998-08,6.92
1998-09,6.72
1998-10,6.71
1998-11,6.87
1998-12,6.74
1999-01,6.79
1999-02,6.81
1999-03,7.04
1999-04,6.92
1999-05,7.15
1999-06,7.55
1999-07,7.63
1999-08,7.94
1999-09,7.82
1999-10,7.85
1999-11,7.74
1999-12,7.91
2000-01,8.21
2000-02,8.33
2000-03,8.24
2000-04,8.15
2000-05,8.52
2000-06,8.29
2000-07,8.15
2000-08,8.03
2000-09,7.91
2000-10,7.8
2000-11,7.75
2000-12,7.38
2001-01,7.03
2001-02,7.05
2001-03,6.95
2001-04,7.08
2001-05,7.15
2001-06,7.16
2001-07,7.13
2001-08,6.95
2001-09,6.82
2001-10,6.62
2001-11,6.66
2001-12,7.07
2002-01,7
2002-02,6.89
2002-03,7.01
2002-04,6.99
2002-05,6.81
2002-06,6.65
2002-07,6.49
2002-08,6.29
2002-09,6.09
2002-10,6.11
2002-11,6.07
2002-12,6.05
2003-01,5.92
2003-02,5.84
2003-03,5.75
2003-04,5.81
2003-05,5.48
2003-06,5.23
2003-07,5.63
2003-08,6.26
2003-09,6.15
2003-10,5.95
2003-11,5.93
2003-12,5.88
2004-01,5.71
2004-02,5.64
2004-03,5.45
2004-04,5.83
2004-05,6.27
2004-06,6.29
2004-07,6.06
2004-08,5.87
2004-09,5.75
2004-10,5.72
2004-11,5.73
2004-12,5.75
2005-01,5.71
2005-02,5.63
2005-03,5.93
2005-04,5.86
2005-05,5.72
2005-06,5.58
2005-07,5.7
2005-08,5.82
2005-09,5.77
2005-10,6.07
2005-11,6.33
2005-12,6.27
2006-01,6.15
2006-02,6.25
2006-03,6.32
2006-04,6.51
2006-05,6.6
2006-06,6.68
2006-07,6.76
2006-08,6.52
2006-09,6.4
2006-10,6.36
2006-11,6.24
2006-12,6.14
2007-01,6.22
2007-02,6.29
2007-03,6.16
2007-04,6.18
2007-05,6.26
2007-06,6.66
2007-07,6.7
2007-08,6.57
2007-09,6.38
2007-10,6.38
2007-11,6.21
2007-12,6.1
2008-01,5.76
2008-02,5.92
2008-03,5.97
2008-04,5.92
2008-05,6.04
2008-06,6.32
2008-07,6.43
2008-08,6.48
2008-09,6.04
2008-10,6.2
2008-11,6.09
2008-12,5.29
2009-01,5.05
2009-02,5.13
2009-03,5
2009-04,4.81
2009-05,4.86
2009-06,5.42
2009-07,5.22
2009-08,5.19
2009-09,5.06
2009-10,4.95
2009-11,4.88
2009-12,4.93
2010-01,5.03
2010-02,4.99
2010-03,4.97
2010-04,5.1
2010-05,4.89
2010-06,4.74
2010-07,4.56
2010-08,4.43
2010-09,4.35
2010-10,4.23
2010-11,4.3
2010-12,4.71
2011-01,4.76
2011-02,4.95
2011-03,4.84
2011-04,4.84
2011-05,4.64
2011-06,4.51
2011-07,4.55
2011-08,4.27
2011-09,4.11
2011-10,4.07
2011-11,3.99
2011-12,3.96
2012-01,3.92
2012-02,3.89
2012-03,3.95
2012-04,3.91
2012-05,3.8
2012-06,3.68
2012-07,3.55
2012-08,3.6
2012-09,3.5
2012-10,3.38
2012-11,3.35
2012-12,3.35
2013-01,3.41
2013-02,3.53
2013-03,3.57
2013-04,3.45
2013-05,3.54
2013-06,4.07
2013-07,4.37
2013-08,4.46
2013-09,4.49
2013-10,4.19
2013-11,4.26
2013-12,4.46
2014-01,4.43
2014-02,4.3
2014-03,4.34
2014-04,4.34
2014-05,4.19
2014-06,4.16
2014-07,4.13
2014-08,4.12
2014-09,4.16
2014-10,4.04
2014-11,4
2014-12,3.86
2015-01,3.67
2015-02,3.71
2015-03,3.77
2015-04,3.67
2015-05,3.84
2015-06,3.98
2015-07,4.05
2015-08,3.91
2015-09,3.89
2015-10,3.8
2015-11,3.94
2015-12,3.96
2016-01,3.87
2016-02,3.66
2016-03,3.69
2016-04,3.61
2016-05,3.6
2016-06,3.57
2016-07,3.44
2016-08,3.44
2016-09,3.46
2016-10,3.47
2016-11,3.77
2016-12,4.2
2017-01,4.15
2017-02,4.17
2017-03,4.2
2017-04,4.05
2017-05,4.01
2017-06,3.9
2017-07,3.97
2017-08,3.88
2017-09,3.81
2017-10,3.9
2017-11,3.92
2017-12,3.95
2018-01,4.03
2018-02,4.33
2018-03,4.44
2018-04,4.47
2018-05,4.59
2018-06,4.57
2018-07,4.53
2018-08,4.55
2018-09,4.63
2018-10,4.83
2018-11,4.87
2018-12,4.64
2019-01,4.46
2019-02,4.37
2019-03,4.27
2019-04,4.14
2019-05,4.07
2019-06,3.8
2019-07,3.77
2019-08,3.62
2019-09,3.61
2019-10,3.69
2019-11,3.7
2019-12,3.72
