Date,value
1996-04,119158
1996-05,119486
1996-06,119769
1996-07,120015
1996-08,120199
1996-09,120410
1996-10,120665
1996-11,120961
1996-12,121143
1997-01,121363
1997-02,121675
1997-03,121990
1997-04,122286
1997-05,122546
1997-06,122814
1997-07,123111
1997-08,123093
1997-09,123585
1997-10,123929
1997-11,124235
1997-12,124549
1998-01,124812
1998-02,125016
1998-03,125164
1998-04,125442
1998-05,125844
1998-06,126076
1998-07,126205
1998-08,126544
1998-09,126752
1998-10,126954
1998-11,127231
1998-12,127596
1999-01,127702
1999-02,128120
1999-03,128227
1999-04,128597
1999-05,128808
1999-06,129089
1999-07,129414
1999-08,129569
1999-09,129772
1999-10,130177
1999-11,130466
1999-12,130772
2000-01,131005
2000-02,131124
2000-03,131596
2000-04,131888
2000-05,132105
2000-06,132061
2000-07,132236
2000-08,132230
2000-09,132353
2000-10,132351
2000-11,132556
2000-12,132709
2001-01,132698
2001-02,132789
2001-03,132747
2001-04,132463
2001-05,132410
2001-06,132299
2001-07,132177
2001-08,132028
2001-09,131771
2001-10,131454
2001-11,131142
2001-12,130982
2002-01,130852
2002-02,130736
2002-03,130717
2002-04,130623
2002-05,130634
2002-06,130684
2002-07,130590
2002-08,130587
2002-09,130501
2002-10,130628
2002-11,130615
2002-12,130472
2003-01,130580
2003-02,130444
2003-03,130232
2003-04,130177
2003-05,130196
2003-06,130194
2003-07,130191
2003-08,130149
2003-09,130254
2003-10,130454
2003-11,130474
2003-12,130588
2004-01,130769
2004-02,130825
2004-03,131142
2004-04,131411
2004-05,131694
2004-06,131793
2004-07,131848
2004-08,131937
2004-09,132093
2004-10,132447
2004-11,132503
2004-12,132624
2005-01,132774
2005-02,133032
2005-03,133156
2005-04,133518
2005-05,133690
2005-06,133942
2005-07,134296
2005-08,134498
2005-09,134566
2005-10,134655
2005-11,134993
2005-12,135149
2006-01,135429
2006-02,135737
2006-03,136047
2006-04,136205
2006-05,136244
2006-06,136325
2006-07,136520
2006-08,136694
2006-09,136843
2006-10,136852
2006-11,137063
2006-12,137249
2007-01,137477
2007-02,137558
2007-03,137793
2007-04,137842
2007-05,137993
2007-06,138069
2007-07,138038
2007-08,138015
2007-09,138095
2007-10,138174
2007-11,138284
2007-12,138392
2008-01,138403
2008-02,138324
2008-03,138275
2008-04,138035
2008-05,137858
2008-06,137687
2008-07,137491
2008-08,137213
2008-09,136753
2008-10,136272
2008-11,135545
2008-12,134839
2009-01,134055
2009-02,133312
2009-03,132512
2009-04,131817
2009-05,131475
2009-06,131008
2009-07,130668
2009-08,130485
2009-09,130244
2009-10,130045
2009-11,130057
2009-12,129788
2010-01,129790
2010-02,129698
2010-03,129879
2010-04,130110
2010-05,130650
2010-06,130511
2010-07,130427
2010-08,130422
2010-09,130357
2010-10,130625
2010-11,130750
2010-12,130822
2011-01,130841
2011-02,131053
2011-03,131288
2011-04,131602
2011-05,131703
2011-06,131939
2011-07,131999
2011-08,132125
2011-09,132358
2011-10,132562
2011-11,132694
2011-12,132896
2012-01,133250
2012-02,133512
2012-03,133752
2012-04,133834
2012-05,133934
2012-06,134007
2012-07,134159
2012-08,134331
2012-09,134518
2012-10,134677
2012-11,134833
2012-12,135072
2013-01,135263
2013-02,135541
2013-03,135680
2013-04,135871
2013-05,136093
2013-06,136274
2013-07,136386
2013-08,136628
2013-09,136815
2013-10,137040
2013-11,137304
2013-12,137373
2014-01,137548
2014-02,137714
2014-03,137968
2014-04,138293
2014-05,138511
2014-06,138837
2014-07,139069
2014-08,139257
2014-09,139566
2014-10,139818
2014-11,140109
2014-12,140377
2015-01,140568
2015-02,140839
2015-03,140910
2015-04,141194
2015-05,141525
2015-06,141699
2015-07,142001
2015-08,142126
2015-09,142281
2015-10,142587
2015-11,142824
2015-12,143097
2016-01,143170
2016-02,143433
2016-03,143662
2016-04,143849
2016-05,143891
2016-06,144158
2016-07,144512
2016-08,144647
2016-09,144916
2016-10,145061
2016-11,145212
2016-12,145442
2017-01,145627
2017-02,145815
2017-03,145944
2017-04,146141
2017-05,146296
2017-06,146512
2017-07,146727
2017-08,146911
2017-09,146929
2017-10,147196
2017-11,147421
2017-12,147551
2018-01,147672
2018-02,148078
2018-03,148254
2018-04,148391
2018-05,148669
2018-06,148888
2018-07,149024
2018-08,149268
2018-09,149348
2018-10,149549
2018-11,149683
2018-12,149865
2019-01,150134
2019-02,150135
2019-03,150282
2019-04,150492
2019-05,150577
2019-06,150759
2019-07,150953
2019-08,151160
2019-09,151368
2019-10,151553
2019-11,151814
2019-12,151961
