Series ID,Year,Period,Label,Value
CES0000000001,1996,M01,1996 Jan,118316
CES0000000001,1996,M02,1996 Feb,118739
CES0000000001,1996,M03,1996 Mar,118993
CES0000000001,1996,M04,1996 Apr,119158
CES0000000001,1996,M05,1996 May,119486
CES0000000001,1996,M06,1996 Jun,119769
CES0000000001,1996,M07,1996 Jul,120015
CES0000000001,1996,M08,1996 Aug,120199
CES0000000001,1996,M09,1996 Sep,120410
CES0000000001,1996,M10,1996 Oct,120665
CES0000000001,1996,M11,1996 Nov,120961
CES0000000001,1996,M12,1996 Dec,121143
CES0000000001,1997,M01,1997 Jan,121363
CES0000000001,1997,M02,1997 Feb,121675
CES0000000001,1997,M03,1997 Mar,121990
CES0000000001,1997,M04,1997 Apr,122286
CES0000000001,1997,M05,1997 May,122546
CES0000000001,1997,M06,1997 Jun,122814
CES0000000001,1997,M07,1997 Jul,123111
CES0000000001,1997,M08,1997 Aug,123093
CES0000000001,1997,M09,1997 Sep,123585
CES0000000001,1997,M10,1997 Oct,123929
CES0000000001,1997,M11,1997 Nov,124235
CES0000000001,1997,M12,1997 Dec,124549
CES0000000001,1998,M01,1998 Jan,124812
CES0000000001,1998,M02,1998 Feb,125016
CES0000000001,1998,M03,1998 Mar,125164
CES0000000001,1998,M04,1998 Apr,125442
CES0000000001,1998,M05,1998 May,125844
CES0000000001,1998,M06,1998 Jun,126076
CES0000000001,1998,M07,1998 Jul,126205
CES0000000001,1998,M08,1998 Aug,126544
CES0000000001,1998,M09,1998 Sep,126752
CES0000000001,1998,M10,1998 Oct,126954
CES0000000001,1998,M11,1998 Nov,127231
CES0000000001,1998,M12,1998 Dec,127596
CES0000000001,1999,M01,1999 Jan,127702
CES0000000001,1999,M02,1999 Feb,128120
CES0000000001,1999,M03,1999 Mar,128227
CES0000000001,1999,M04,1999 Apr,128597
CES0000000001,1999,M05,1999 May,128808
CES0000000001,1999,M06,1999 Jun,129089
CES0000000001,1999,M07,1999 Jul,129414
CES0000000001,1999,M08,1999 Aug,129569
CES0000000001,1999,M09,1999 Sep,129772
CES0000000001,1999,M10,1999 Oct,130177
CES0000000001,1999,M11,1999 Nov,130466
CES0000000001,1999,M12,1999 Dec,130772
CES0000000001,2000,M01,2000 Jan,131005
CES0000000001,2000,M02,2000 Feb,131124
CES0000000001,2000,M03,2000 Mar,131596
CES0000000001,2000,M04,2000 Apr,131888
CES0000000001,2000,M05,2000 May,132105
CES0000000001,2000,M06,2000 Jun,132061
CES0000000001,2000,M07,2000 Jul,132236
CES0000000001,2000,M08,2000 Aug,132230
CES0000000001,2000,M09,2000 Sep,132353
CES0000000001,2000,M10,2000 Oct,132351
CES0000000001,2000,M11,2000 Nov,132556
CES0000000001,2000,M12,2000 Dec,132709
CES0000000001,2001,M01,2001 Jan,132698
CES0000000001,2001,M02,2001 Feb,132789
CES0000000001,2001,M03,2001 Mar,132747
CES0000000001,2001,M04,2001 Apr,132463
CES0000000001,2001,M05,2001 May,132410
CES0000000001,2001,M06,2001 Jun,132299
CES0000000001,2001,M07,2001 Jul,132177
CES0000000001,2001,M08,2001 Aug,132028
CES0000000001,2001,M09,2001 Sep,131771
CES0000000001,2001,M10,2001 Oct,131454
CES0000000001,2001,M11,2001 Nov,131142
CES0000000001,2001,M12,2001 Dec,130982
CES0000000001,2002,M01,2002 Jan,130852
CES0000000001,2002,M02,2002 Feb,130736
CES0000000001,2002,M03,2002 Mar,130717
CES0000000001,2002,M04,2002 Apr,130623
CES0000000001,2002,M05,2002 May,130634
CES0000000001,2002,M06,2002 Jun,130684
CES0000000001,2002,M07,2002 Jul,130590
CES0000000001,2002,M08,2002 Aug,130587
CES0000000001,2002,M09,2002 Sep,130501
