custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city
6H6T6N,0,9/27/2008,8/10/2009,8/10/2009,29,100,3.448275862,14.52,0,0,0,0,Monday,CHO
APCENR,1,12/18/2006,3/31/2007,1/18/2010,95,92.63157895,10.52631579,83.69,0.181640625,1,1,1,Friday,CHO
7UP6MS,0,10/2/2006,11/30/2006,7/5/2007,0,0,0,33.58,0.059907834,0,0,0,Wednesday,CHO
7ZEW8G,0,10/21/2006,3/27/2007,3/27/2007,0,0,0,54.96,0,0,0,0,Thursday,RIC
8V726M,1,11/26/2006,11/28/2006,1/27/2009,30,90,13.33333333,111.91,0.008849558,0,0,0,Monday,RIC
2B6B83,1,11/16/2004,10/11/2006,1/13/2010,46,80.43478261,15.2173913,175.1,0.141176471,1,1,0,Wednesday,CHO
99XGVM,1,1/23/2007,5/15/2007,1/15/2010,60,43.33333333,6.666666667,116.55,0.125,0,1,0,Friday,RIC
U3MP5L,1,12/3/2005,9/20/2007,1/15/2010,64,28.125,15.625,68.1,0.04009434,1,1,0,Friday,CHO
ELKAGQ,1,9/17/2006,11/8/2006,11/8/2006,45,0,0,46.6,0,0,0,0,Wednesday,CHO
3SBQP2,1,12/28/2006,2/19/2007,12/9/2009,34,94.11764706,8.823529412,66.07,0.133789063,1,0,0,Monday,CHO
YMALVV,1,9/21/2006,11/17/2006,1/14/2010,48,83.33333333,2.083333333,89.04,0.086655113,0,0,1,Friday,CHO
GW8NT7,1,11/15/2005,5/8/2007,1/4/2010,40,87.5,45,88.3,0.088477366,0,0,0,Wednesday,CHO
TFKLD4,1,7/24/2005,11/14/2006,1/18/2010,69,2.898550725,2.898550725,126.81,0.059431525,1,1,1,Monday,CHO
RAQ92T,1,3/13/2006,2/28/2007,10/5/2009,38,36.84210526,23.68421053,116.77,0.078947368,0,0,0,Tuesday,CHO
DMJERJ,0,4/10/2007,4/13/2007,1/12/2010,16,12.5,0,59.25,0.129353234,1,1,0,Tuesday,CHO
FJKD8W,1,3/7/2007,3/26/2007,1/6/2010,45,60,15.55555556,49.73,0.044247788,1,1,0,Wednesday,RIC
HEPCW7,0,10/1/2006,1/24/2007,1/11/2010,13,61.53846154,15.38461538,156.54,0.119113573,1,0,0,Monday,CHO
2JZAE3,1,8/29/2006,3/11/2008,10/14/2009,48,8.333333333,2.083333333,101.06,0.037800687,0,0,0,Monday,CHO
BYS2DU,1,2/1/2007,4/9/2007,1/18/2010,57,17.54385965,0,14.02,0.066009852,0,0,0,Monday,RIC
F6MHUM,1,9/13/2006,5/2/2007,1/14/2010,46,65.2173913,8.695652174,79.39,0.069838057,1,0,0,Thursday,CHO
LSL6QK,0,2/21/2007,5/1/2007,5/1/2007,0,0,0,29.17,0,0,0,0,Monday,RIC
9SVNMF,1,12/17/2006,12/18/2006,7/17/2008,47,2.127659574,0,79.88,0.006932409,0,0,0,Wednesday,CHO
JPBBEP,1,8/11/2006,8/21/2008,4/30/2009,47,19.14893617,10.63829787,115.25,0.138888889,1,0,0,Wednesday,CHO
3ML22U,0,3/9/2007,4/23/2007,11/13/2008,0,0,0,76.67,0.007017544,0,0,0,Tuesday,CHO
N297FU,0,4/23/2006,12/19/2006,11/16/2007,0,0,0,35.86,0.006024096,0,0,0,Tuesday,CHO
JD96M8,1,1/25/2007,6/12/2007,8/1/2007,18,0,0,85.61,0.08,0,0,0,Tuesday,CHO
PLM5WZ,0,11/16/2005,11/23/2005,10/7/2009,0,0,0,75.54,0.007072136,0,0,0,Monday,CHO
F3MF5Y,1,7/23/2006,7/28/2006,11/27/2007,31,100,9.677419355,59.67,0.016427105,0,0,0,Thursday,CHO
2GHDRJ,1,7/23/2005,5/22/2006,3/6/2009,46,6.52173913,4.347826087,59.11,0.015701668,1,0,0,Friday,RIC
KZHTJ7,1,1/25/2007,2/27/2007,12/16/2009,49,36.73469388,20.40816327,33.87,0.026392962,0,0,0,Monday,RIC
WXBP2F,1,8/27/2006,5/16/2007,6/13/2007,16,0,0,64.82,0.071428571,0,0,0,Tuesday,CHO
RJYYJ9,1,1/28/2007,8/18/2008,8/18/2008,45,11.11111111,0,60.94,0,0,0,0,Tuesday,RIC
MZ8L3N,1,2/8/2007,3/19/2007,11/2/2007,40,2.5,2.5,94.28,0.021929825,0,0,0,Thursday,RIC
UCVGQ9,1,3/6/2007,3/13/2007,9/10/2009,48,12.5,2.083333333,103.39,0.013157895,0,0,0,Monday,RIC
4W84UJ,0,4/23/2005,4/23/2005,4/23/2005,0,0,0,15.64,0,0,0,0,Tuesday,CHO
LMVN3V,1,5/17/2006,6/1/2006,3/7/2008,45,17.77777778,2.222222222,117.97,0.03255814,0,0,0,Thursday,CHO
CZTUVU,1,9/12/2006,11/6/2007,9/27/2008,47,2.127659574,0,37.24,0.036809816,0,0,0,Wednesday,CHO
3TJT3R,1,4/21/2007,4/27/2007,1/21/2008,16,0,0,165.95,0.007434944,0,0,0,Friday,RIC
Q7RV8W,1,8/19/2006,8/29/2006,8/29/2006,45,0,0,74.74,0,0,0,0,Friday,RIC
D5SNFS,0,1/3/2007,4/12/2007,10/5/2009,0,0,0,178.44,0.045203969,0,0,0,Wednesday,CHO
ANEWZC,0,3/7/2007,3/7/2007,3/7/2007,0,0,0,43.54,0,0,0,0,Tuesday,RIC
ZKL5JF,0,1/19/2007,4/6/2007,4/11/2008,0,0,0,103.64,0.016172507,0,0,0,Thursday,RIC
EEKG4H,0,11/9/2005,11/9/2005,11/9/2005,0,0,0,28.63,0,0,0,0,Wednesday,CHO
AZJTMQ,0,6/19/2005,7/12/2005,7/12/2005,0,0,0,21.97,0,0,0,0,Thursday,CHO
HGBG96,0,1/25/2006,1/31/2006,6/21/2006,0,0,0,87.05,0.021276596,0,0,0,Tuesday,CHO
W97W6Q,1,2/25/2006,4/9/2006,4/28/2009,48,2.083333333,2.083333333,35.73,0.026008969,0,0,0,Tuesday,CHO
LGA8JT,1,11/10/2005,4/11/2006,11/2/2009,50,10,4,33.38,0.005380477,0,0,0,Monday,CHO
RZQEWF,1,10/18/2006,10/18/2006,10/18/2006,45,0,0,22.92,0,0,0,0,Wednesday,CHO
D4AEL5,0,3/3/2006,3/1/2007,2/26/2008,0,0,0,125.97,0.035911602,0,0,0,Monday,CHO
3PST7V,0,2/9/2007,2/9/2007,3/23/2007,0,0,0,37.01,0.047619048,0,0,0,Friday,CHO
T6ZAER,0,7/18/2005,10/21/2005,11/16/2005,0,0,0,61.85,0.269230769,0,0,0,Friday,CHO
C55RAB,0,8/2/2006,8/8/2006,8/8/2006,0,0,0,101.3,0,0,0,0,Wednesday,CHO
YRHUHV,1,4/14/2006,10/3/2006,11/17/2009,53,3.773584906,3.773584906,151.27,0.094653812,0,0,0,Tuesday,CHO
8SK2UB,1,1/22/2007,2/6/2007,3/20/2007,18,0,0,58.57,0.166666667,0,0,0,Monday,CHO
HZS3AJ,0,9/6/2006,10/25/2007,10/25/2007,0,0,0,55.9,0,0,0,0,Thursday,RIC
GXDXR6,1,6/20/2006,6/27/2006,6/26/2007,18,0,0,132.31,0.027472527,0,0,0,Monday,CHO
LE9M9X,1,4/11/2007,4/16/2007,4/16/2007,16,0,0,91.9,0,0,0,0,Monday,CHO
B2LW75,1,5/13/2005,3/11/2006,3/11/2006,16,0,0,39.16,0,0,0,0,Friday,CHO
BNE3YV,1,7/12/2006,3/27/2007,10/1/2009,23,95.65217391,0,68.82,0.032644178,0,0,0,Monday,RIC
LJJEMA,1,10/4/2006,10/25/2009,10/25/2009,34,14.70588235,0,44.05,0,0,1,0,Tuesday,RIC
EBNK8A,0,8/26/2006,9/6/2006,9/6/2006,0,0,0,184.37,0,0,0,0,Wednesday,CHO
Z4YCW4,1,6/13/2006,4/27/2007,6/30/2009,41,43.90243902,0,27.11,0.065408805,1,0,0,Thursday,CHO
FNWU29,0,8/25/2006,9/22/2006,11/24/2008,0,0,0,65.77,0.018891688,1,0,0,Wednesday,DCX
ARR4H6,1,9/4/2006,9/5/2006,6/17/2008,42,26.19047619,2.380952381,44.97,0.006144393,0,0,0,Tuesday,RIC
RACF5D,0,9/19/2006,10/13/2006,10/13/2006,0,0,0,69.69,0,0,0,0,Thursday,CHO
64QBT7,0,3/14/2007,3/27/2007,4/10/2007,33,75.75757576,0,49.76,0.214285714,0,0,0,Tuesday,CHO
GK3EST,1,6/15/2006,6/20/2006,6/20/2006,16,0,0,81.95,0,0,0,0,Wednesday,CHO
W3TM2U,0,11/2/2006,11/2/2006,2/5/2008,0,0,0,134.18,0.015217391,1,0,0,Tuesday,RIC
MLX3EU,1,10/1/2004,10/1/2004,10/1/2004,14,0,0,63.18,0,0,0,0,Thursday,CHO
BXWS2B,1,11/28/2005,7/21/2007,1/7/2010,45,77.77777778,20,42.62,0.064372919,1,0,0,Monday,CHO
C8UJQ3,1,2/8/2006,3/29/2006,3/29/2006,16,0,0,23.79,0,0,0,0,Wednesday,CHO
PFCF8Q,1,7/11/2006,11/19/2008,11/19/2008,46,93.47826087,15.2173913,165.07,0,0,0,0,Tuesday,CHO
NJR788,0,8/17/2006,8/22/2006,8/22/2006,0,0,0,29.68,0,0,0,0,Tuesday,CHO
J8SLPE,1,8/6/2005,9/10/2005,10/9/2009,45,4.444444444,2.222222222,39.41,0.006711409,0,0,0,Friday,CHO
